zip,lat,lon,state,city
01339,42.5943,-72.6655,MA,Charlemont
01340,42.6815,-72.8230,MA,Colrain
01341,42.5908,-72.7098,MA,Conway
01342,42.5472,-72.6077,MA,Deerfield
01343,42.6427,-72.9862,MA,Drury
01344,42.6271,-72.5537,MA,Erving
01346,42.6180,-72.7889,MA,Heath
01347,42.5566,-72.5181,MA,Lake Pleasant
01349,42.6214,-72.7056,MA,Turners Falls
01350,42.7215,-72.9762,MA,Monroe Bridge
01351,42.5481,-72.4869,MA,Montague
01354,42.5222,-72.6242,MA,Northfield
01355,42.5187,-72.5344,MA,New Salem
01360,42.6142,-72.5282,MA,Northfield
01364,42.5783,-72.5566,MA,Orange
01366,42.4596,-72.1830,MA,Petersham
01367,42.6831,-72.7157,MA,Rowe
01368,42.6722,-72.1964,MA,Royalston
01369,42.5222,-72.6242,MA,Shattuckville
01370,42.5888,-72.7588,MA,Shelburne Falls
01373,42.4645,-72.6823,MA,South Deerfield
01375,42.5653,-72.7009,MA,Sunderland
01376,42.6549,-72.7181,MA,Turners Falls
01378,42.6671,-72.3397,MA,Warwick
01379,42.5810,-72.4372,MA,Wendell
01380,42.5534,-72.3927,MA,Wendell Depot
01420,42.5837,-71.8168,MA,Fitchburg
01430,42.6549,-71.9209,MA,Ashburnham
01431,42.4464,-71.4594,MA,Ashby
01432,42.4464,-71.4594,MA,Ayer
01434,42.5300,-71.6100,MA,Devens
01436,42.6014,-72.0838,MA,Baldwinville
01438,42.5517,-72.0294,MA,East Templeton
01440,42.5825,-72.0259,MA,Gardner
01441,42.3648,-71.8969,MA,Westminster
01450,42.4464,-71.4594,MA,Groton
01451,42.5002,-71.5759,MA,Harvard
01452,42.4839,-72.0115,MA,Hubbardston
01453,42.4713,-71.8375,MA,Leominster
01460,42.4464,-71.4594,MA,Littleton
01462,42.5833,-71.7523,MA,Lunenburg
01463,42.4464,-71.4594,MA,Pepperell
01464,42.4464,-71.4594,MA,Shirley
01467,42.4871,-71.6131,MA,Still River
01468,42.5551,-72.0723,MA,Templeton
01469,42.4464,-71.4594,MA,Townsend
01470,42.4464,-71.4594,MA,Groton
01471,42.4464,-71.4594,MA,Groton
01472,42.4464,-71.4594,MA,West Groton
01473,42.5495,-71.9132,MA,Westminster
01474,42.4464,-71.4594,MA,West Townsend
01475,42.6616,-72.0479,MA,Winchendon
01477,42.3648,-71.8969,MA,Winchendon Springs
01501,42.1848,-71.9472,MA,Auburn
01503,42.3129,-71.8417,MA,Berlin
01504,42.1141,-71.7998,MA,Blackstone
01505,42.3000,-71.9435,MA,Boylston
01506,42.1917,-72.1050,MA,Brookfield
01507,42.1328,-71.9726,MA,Charlton
01508,42.1097,-72.0795,MA,Charlton City
01509,42.3648,-71.8969,MA,Charlton Depot
01510,42.4140,-71.6875,MA,Clinton
01515,42.2053,-72.0499,MA,East Brookfield
01516,42.1131,-71.8911,MA,Douglas
01517,42.3648,-71.8969,MA,East Princeton
01518,42.1064,-72.1140,MA,Fiskdale
01519,42.2039,-71.6829,MA,Grafton
01520,42.3368,-71.8453,MA,Holden
01521,42.0611,-72.1640,MA,Holland
01522,42.2646,-71.7954,MA,Jefferson
01523,42.4272,-71.9118,MA,Lancaster
01524,42.2382,-72.0124,MA,Leicester
01525,42.3648,-71.8969,MA,Linwood
01526,42.3648,-71.8969,MA,Manchaug
01527,42.2556,-71.8200,MA,Millbury
01529,42.1247,-71.8469,MA,Millville
01531,42.3209,-72.1286,MA,New Braintree
01532,42.3221,-71.6428,MA,Northborough
01534,42.2072,-71.8568,MA,Northbridge
01535,42.2754,-72.0893,MA,North Brookfield
01536,42.4076,-71.8604,MA,North Grafton
01537,42.1662,-71.8911,MA,North Oxford
01538,42.3648,-71.8969,MA,North Uxbridge
01540,42.1092,-71.8554,MA,Oxford
01541,42.4519,-71.8801,MA,Princeton
01542,42.2201,-71.9144,MA,Rochdale
01543,42.3835,-71.9546,MA,Rutland
01545,42.2870,-71.7153,MA,Shrewsbury
01546,42.3648,-71.8969,MA,Shrewsbury
01550,42.1293,-72.0312,MA,Southbridge
01560,42.1765,-71.6819,MA,South Grafton
01561,42.4435,-71.6861,MA,South Lancaster
01562,42.2548,-72.0656,MA,Spencer
01564,42.3668,-71.9394,MA,Sterling
01566,42.1027,-72.0810,MA,Sturbridge
01568,42.1756,-71.6032,MA,Upton
01569,42.0597,-71.6384,MA,Uxbridge
01570,42.1351,-71.9942,MA,Webster
01571,42.0592,-71.9370,MA,Dudley
01580,42.3648,-71.8969,MA,Westborough
01581,42.2552,-71.8459,MA,Westborough
01582,42.3648,-71.8969,MA,Westborough
01583,42.3628,-71.7812,MA,West Boylston
01585,42.2356,-72.1725,MA,West Brookfield
01586,42.3648,-71.8969,MA,West Millbury
01588,42.1666,-71.8995,MA,Whitinsville
